"behavior","cluster_id","cluster_label"
"make a copy of your face","29","to engage in humorous activities"
"wear a mask","22","to wear"
"rev your engine","3","to drive"
"talk about your problems","42","to discuss"
"pretend to be a ghost","29","to engage in humorous activities"
"climb a rope","4","to climb"
"go on a date","10","to move around"
"get a wax","47","to use cosmetics"
"use a napkin","7",""
"wear a costume","22","to wear"
"show guests to their seats","20","to sit"
"use artificial means to breed animals","35","to interact with animals"
"ask to borrow money from a stranger","12","to ask for something"
"engage in sexual activity","17","to engage in sexual activities"
"fall asleep at your desk","30","to sleep"
"swear","9","to express negative emotions"
"stop to admire the scenery","38","to look"
"hit a piñata","18","to play"
"use disposable cutlery","7",""
"start a sing-along","13",""
"checking the ammunition","23","to check"
"use your phone","48","to use a phone"
"wear a short skirt","22","to wear"
"talk about your personal life","42","to discuss"
"listen to patriotic music","13",""
"hugging","17","to engage in sexual activities"
"ask for a sample of food","25","to serve food"
"leave clothes out","6","to manage clothing"
"dance around wildly","45","to dance"
"leave the place","11","to leave"
"leave","11","to leave"
"run","10","to move around"
"acknowledge a guest","15","to interact with others"
"punch someone","44","to touch someone"
"make a speech","49","to interact"
"have sex","17","to engage in sexual activities"
"wear a thong","22","to wear"
"throw a grenade","0","to use fire"
"collect the offering","15","to interact with others"
"scratch yourself","14","to use your hands"
"draw blood","17","to engage in sexual activities"
"kiss someone goodnight","30","to sleep"
"put on a shirt backwards","6","to manage clothing"
"plant corn","21","to care for plants"
"kill an animal","35","to interact with animals"
"spit on the ground","27","to lie on the floor"
"ask someone personal questions","12","to ask for something"
"break something","16","to interact with objects"
"wash your clothes in the sink","6","to manage clothing"
"check for airspace restrictions","23","to check"
"sacrifice an animal","35","to interact with animals"
"using a power tool","16","to interact with objects"
"make coffee","1","to consume beverages"
"watch a play","18","to play"
"question an athlete's commitment to the team","18","to play"
"admit to wrongdoing","9","to express negative emotions"
"comb your hair","37","to style"
"add sugar to dish","32","to cook"
"bring in a pet","35","to interact with animals"
"celebrate halloween","8","to participate in religious practices"
"spell words out loud","39","to make loud noises"
"hang things from the ceiling","4","to climb"
"playing contact sports","18","to play"
"check the flight controls","23","to check"
"leave food out","25","to serve food"
"chase a bull","35","to interact with animals"
"pour alcohol on the ground","1","to consume beverages"
"do physical therapy","15","to interact with others"
"install a fan","16","to interact with objects"
"take food orders","25","to serve food"
"use a toilet brush","7",""
"have a watchful eye on the workers","38","to look"
"look at personal email","23","to check"
"climb without a guide","4","to climb"
"stand in line to go to the bathroom","33","to enter spaces"
"leave chopsticks sticking up in the bowl","32","to cook"
"ride a bike without a helmet","10","to move around"
"engage with the local art community","34","to engage with the art community"
"skip a homework assignment","26","to perform tasks"
"play an instrument","13",""
"hit someone","44","to touch someone"
"drive a car","3","to drive"
"have a snack","31","to eat"
"hit on someone","44","to touch someone"
"wear a life jacket","22","to wear"
"wear a hoodie","22","to wear"
"laugh hysterically","29","to engage in humorous activities"
"hold someone's hand","44","to touch someone"
"listen to music with a strong beat","13",""
"build a fence","34","to engage with the art community"
"compete against others","18","to play"
"carry an umbrella","28","to bring items"
"have a photo of your girlfriend visible","19","to take photos"
"analyze social media analytics","23","to check"
"touch the screen of the machine","16","to interact with objects"
"talk about your partner","42","to discuss"
"bring your phone","48","to use a phone"
"engage other passengers in spiritual or meditation practices","8","to participate in religious practices"
"leave uncovered food out","25","to serve food"
"accelerate","3","to drive"
"bring your graduation cap","28","to bring items"
"feed someone off of your plate","25","to serve food"
"take off your clothes","6","to manage clothing"
"teach the main part of class","15","to interact with others"
"breastfeed a child","41","to care for children"
"talk loudly","39","to make loud noises"
"use a laptop","7",""
"create and manage a budget for purchasing","2","to buy"
"help people with questions","12","to ask for something"
"bring food","25","to serve food"
"attempt to climb","4","to climb"
"leave a large tip","11","to leave"
"dance the waltz","45","to dance"
"cleaning the bathrooms","24","to clean"
"walking in without a shirt on","6","to manage clothing"
"drive a cart on the fairway","3","to drive"
"have a lemonade stand","1","to consume beverages"
"feed the animals","35","to interact with animals"
"clean the kitchen","24","to clean"
"spitting on the floor","27","to lie on the floor"
"climb on things","4","to climb"
"pray to mecca","8","to participate in religious practices"
"dance","45","to dance"
"ask for a menu","12","to ask for something"
"using gloves","14","to use your hands"
"chew on toys","16","to interact with objects"
"climb a rock wall","4","to climb"
"make out with someone","44","to touch someone"
"skip a cool-down","10","to move around"
"negotiate a fare with the driver","3","to drive"
"stay in the hotel","30","to sleep"
"tell a joke","29","to engage in humorous activities"
"cut your hair","37","to style"
"lift weights","4","to climb"
"cut the grass with a push mower","21","to care for plants"
"add cayenne pepper","47","to use cosmetics"
"play a game","18","to play"
"sitting in the dirt","20","to sit"
"make cheese","32","to cook"
"buy cosmetics or fragrances","2","to buy"
"look around at the crowd","38","to look"
"have your bachelor/ette party","17","to engage in sexual activities"
"take your time eating your meal","31","to eat"
"put your hand in an animal's cage","35","to interact with animals"
"bathing","5","to be in water"
"keep the sales floor clean and organized","24","to clean"
"bring a towel","28","to bring items"
"put people's luggage through the x-ray machine","43","to engage in store operations"
"push your grocery cart","43","to engage in store operations"
"go on the see-saw","10","to move around"
"compete against someone","44","to touch someone"
"bring a phone","48","to use a phone"
"bring a large bag","28","to bring items"
"wear a hat","22","to wear"
"put your hands in your mouth","14","to use your hands"
"get into an argument with someone","49","to interact"
"say a prayer before a game","8","to participate in religious practices"
"drink more than one cup of coffee","1","to consume beverages"
"yawn without covering your mouth","36","to use the mouth"
"bring your own mat","28","to bring items"
"tell someone to be quiet","39","to make loud noises"
"start a fire","0","to use fire"
"participate in a race","3","to drive"
"pretend to be asleep","30","to sleep"
"bring a baseball bat","28","to bring items"
"lean against the bar","20","to sit"
"change the sheets","30","to sleep"
"sing loudly","39","to make loud noises"
"pay for your gas with cash","3","to drive"
"give a speech","49","to interact"
"breathe through your mouth","36","to use the mouth"
"walk around barefoot","10","to move around"
"give someone a love note","44","to touch someone"
"bow","18","to play"
"ask someone personal questions about their life","12","to ask for something"
"dunking someone's head under water","5","to be in water"
"eat pork","31","to eat"
"answer customers' questions about financing","12","to ask for something"
"chase a ball into the road","18","to play"
"eat fruit","31","to eat"
"hang new curtains","16","to interact with objects"
"beg","12","to ask for something"
"encourage people to take pictures and explore","19","to take photos"
"eat a meal","31","to eat"
"wearing gloves","14","to use your hands"
"get a tattoo","34","to engage with the art community"
"wear sandals","22","to wear"
"provide information about shipping restrictions","15","to interact with others"
"cook without a recipe","32","to cook"
"climb on shelves","4","to climb"
"bring copies of medical records","26","to perform tasks"
"block a shot","18","to play"
"dance in your seat","45","to dance"
"have a tv","16","to interact with objects"
"cuddle with someone","44","to touch someone"
"dig in the sand","16","to interact with objects"
"greet the customer","15","to interact with others"
"boo a player","9","to express negative emotions"
"bring your own food","25","to serve food"
"wear a tie","22","to wear"
"take a phone call","48","to use a phone"
"drink a soda","1","to consume beverages"
"pull over to the side of the road=","3","to drive"
"wave a flag or banner","34","to engage with the art community"
"take a photo of someone","19","to take photos"
"eat carbs","31","to eat"
"ask for a smoke","12","to ask for something"
"compare yourself to others","38","to look"
"fall to the ground","27","to lie on the floor"
"change your clothes","6","to manage clothing"
"wear a bathing suit","22","to wear"
"give someone a back massage","44","to touch someone"
"sweep the floor with a broom","27","to lie on the floor"
"use personal electronic devices","7",""
"move a patient","15","to interact with others"
"stare at the ceiling","38","to look"
"play loud music","13",""
"go inside","33","to enter spaces"
"kick","18","to play"
"dance on top of lockers","45","to dance"
"bring a backpack","28","to bring items"
"read","26","to perform tasks"
"wear a choli","22","to wear"
"bag your own groceries","43","to engage in store operations"
"dance provocatively","45","to dance"
"wear sunscreen","22","to wear"
"watch a film with strong language","9","to express negative emotions"
"walk on your own","40","to go"
"run with scissors","16","to interact with objects"
"wear a top hat","22","to wear"
"take a nap","30","to sleep"
"preach","8","to participate in religious practices"
"flail your arms","14","to use your hands"
"appear disheveled or disorganized","43","to engage in store operations"
"clean up","24","to clean"
"put your feet up on a chair","20","to sit"
"smell bad","47","to use cosmetics"
"bring a child","41","to care for children"
"have a gps","3","to drive"
"eat chicken nuggets","31","to eat"
"dance the salsa","45","to dance"
"talk about the importance of reducing your carbon footprint","42","to discuss"
"wear a beard","22","to wear"
"have sex in the kitchen","32","to cook"
"offer alcohol as a sacrifice","1","to consume beverages"
"conduct research","23","to check"
"hang clothes or laundry to dry","6","to manage clothing"
"operate a crane","16","to interact with objects"
"listen to music","13",""
"jump out of your seat","20","to sit"
"wear a maga hat","22","to wear"
"take notes","26","to perform tasks"
"have a water balloon fight","5","to be in water"
"fold clothes incorrectly","6","to manage clothing"
"hang clothes outside to dry","6","to manage clothing"
"cook on an open fire","0","to use fire"
"join the military","15","to interact with others"
"wear make-up","22","to wear"
"repair a gun","16","to interact with objects"
"drink a smoothie","1","to consume beverages"
"check email","23","to check"
"wear a sleeveless shirt","22","to wear"
"leave a tip","11","to leave"
"talk with your mouth full","49","to interact"
"have a religious ceremony","8","to participate in religious practices"
"work the register","43","to engage in store operations"
"do homework","26","to perform tasks"
"bring a friend","28","to bring items"
"play contact sports","18","to play"
"wear white","22","to wear"
"paint a picture","19","to take photos"
"eat a steak","31","to eat"
"talk to strangers","49","to interact"
"ask for a job","12","to ask for something"
"play sex games","18","to play"
"use a power lawn mower","21","to care for plants"
"drink coffee","1","to consume beverages"
"sell ham","2","to buy"
"give a sermon","8","to participate in religious practices"
"throw a party","17","to engage in sexual activities"
"go to bed early","30","to sleep"
"offer to help someone with luggage","12","to ask for something"
"sing the national anthem","13",""
"avoid eye contact with others","38","to look"
"pass the ball","18","to play"
"watch the game","18","to play"
"sail at night","46","to be in the dark"
"deny someone food","25","to serve food"
"restrict people's access to the slopes","10","to move around"
"collect water","5","to be in water"
"make sex jokes","29","to engage in humorous activities"
"tell lies","29","to engage in humorous activities"
"put items in your mouth","36","to use the mouth"
"get a tattoo of a naked person","34","to engage with the art community"
"do the butterfly","45","to dance"
"ask for a refund","12","to ask for something"
"write","26","to perform tasks"
"put on a seatbelt","20","to sit"
"leave your shoes at the door","33","to enter spaces"
"complete a pre-flight check","23","to check"
"use confetti","7",""
"flush the toilet","24","to clean"
"jump around","10","to move around"
"eat food in bed","30","to sleep"
"talk on the phone","48","to use a phone"
"pray before meals","8","to participate in religious practices"
"finish a race","3","to drive"
"exercise","10","to move around"
"talk to someone","49","to interact"
"do daily exercises","10","to move around"
"say amen","8","to participate in religious practices"
"drive without insurance","3","to drive"
"strip","17","to engage in sexual activities"
"keep the floors clean and swept","24","to clean"
"cook without supervision","32","to cook"
"sleep in your car","3","to drive"
"control the crowd","9","to express negative emotions"
"have a snowball fight","18","to play"
"do pilates","17","to engage in sexual activities"
"leave your gas cap off","11","to leave"
"ask someone for a hug","12","to ask for something"
"attend a bullfight","18","to play"
"answer phone calls","48","to use a phone"
"wear gloves","14","to use your hands"
"buy clothes made of fur","2","to buy"
"wear brightly colored clothing","22","to wear"
"wear boots","22","to wear"
"go inside with food or drink in your hand","1","to consume beverages"
"count the money","15","to interact with others"
"bless yourself with holy water","8","to participate in religious practices"
"wear dirty shoes","6","to manage clothing"
"sleeping","30","to sleep"
"conduct a business meeting","49","to interact"
"bend over for long periods of time","16","to interact with objects"
"wear a bracelet","22","to wear"
"wear your best clothes","6","to manage clothing"
"wear a tuxedo","22","to wear"
"wear fur","22","to wear"
"leave the premises","11","to leave"
"eat a meal with your hands","14","to use your hands"
"lift weights without a shirt on","6","to manage clothing"
"check social media","23","to check"
"put your hands in your pockets","14","to use your hands"
"get a leg wax","47","to use cosmetics"
"pay attention to the tides","38","to look"
"have visible tattoos","34","to engage with the art community"
"touch or lean on a statue","44","to touch someone"
"put your hat on it","20","to sit"
"clean the floors","24","to clean"
"get an abortion","17","to engage in sexual activities"
"see a movie with violence","9","to express negative emotions"
"avoid eye contact","38","to look"
"wear a one-piece bathing suit","22","to wear"
"take photos","19","to take photos"
"get dirty","24","to clean"
"answer the phone","48","to use a phone"
"eat bread","31","to eat"
"ask to leave early","11","to leave"
"hit something","18","to play"
"climb on stage","4","to climb"
"lean on a wall","4","to climb"
"have a game night","18","to play"
"replace strings","16","to interact with objects"
"wear bright colors","22","to wear"
"take out the trash","24","to clean"
"make phone calls","48","to use a phone"
"work on a laptop","26","to perform tasks"
"ask someone for a blanket","12","to ask for something"
"climb on the seats","4","to climb"
"bring a pavlova","28","to bring items"
"canoeing","5","to be in water"
"maintain records of the church's members","23","to check"
"wear perfume or cologne","47","to use cosmetics"
"sit on the edge of the roof","20","to sit"
"buy something on sale","2","to buy"
"ask someone to leave","11","to leave"
"advertise","15","to interact with others"
"paint your nails","47","to use cosmetics"
"do yoga","10","to move around"
"sing love songs to someone","13",""
"gather wood","21","to care for plants"
"leave your shoes on","6","to manage clothing"
"force someone out of an elevator","33","to enter spaces"
"swing on a swing","18","to play"
"wear a soccer jersey","22","to wear"
"ask someone to stay in their seat","20","to sit"
"ask a stranger for directions","12","to ask for something"
"play on your phone","48","to use a phone"
"make copies of random things in the store","43","to engage in store operations"
"choose music for the service","13",""
"get into a fist fight","9","to express negative emotions"
"have a phone","48","to use a phone"
"go outside","10","to move around"
"shampoo a someone's hair","37","to style"
"sit on someone's lap","20","to sit"
"grill chicken","32","to cook"
"thank the customer for their business","15","to interact with others"
"hang upside down from the monkey bars","4","to climb"
"cry loudly","39","to make loud noises"
"go to the petting zoo","35","to interact with animals"
"stomping","10","to move around"
"stomp your feet","20","to sit"
"collect eggs","21","to care for plants"
"tell jokes","29","to engage in humorous activities"
"dress casually","22","to wear"
"put something fried on it","32","to cook"
"shout","39","to make loud noises"
"give someone a buddha statue as a gift","44","to touch someone"
"go inside without taking a bath","33","to enter spaces"
"cut the grass","21","to care for plants"
"advocate for the use of violence","9","to express negative emotions"
"go by yourself","40","to go"
"walk","10","to move around"
"play without a referee","18","to play"
"sing patriotic songs","13",""
"row","20","to sit"
"get a tattoo of a bible verse","34","to engage with the art community"
"handle a microscope","16","to interact with objects"
"biting your nails","36","to use the mouth"
"drive without a driver's license","3","to drive"
"give animals haircuts","35","to interact with animals"
"get an afro","37","to style"
"draw a diagram of the scene","34","to engage with the art community"
"read religious texts","8","to participate in religious practices"
"eat pasta","31","to eat"
"attempt a dangerous stunt","4","to climb"
"discuss your personal life","42","to discuss"
"pick your nose","36","to use the mouth"
"put a swastika on it","34","to engage with the art community"
"make personal phone calls","48","to use a phone"
"ask for a kid's meal","41","to care for children"
"go to trial","15","to interact with others"
"force people to sit in their seats","20","to sit"
"argue","42","to discuss"
"bring a toy","28","to bring items"
"participate in a conference call","49","to interact"
"travel without a map","10","to move around"
"call for help","12","to ask for something"
"reach something on a high shelf","43","to engage in store operations"
"travel without food","25","to serve food"
"take pictures of people","19","to take photos"
"listen to music on your headphones","13",""
"drink sugary drinks","1","to consume beverages"
"wear a ball gown","22","to wear"
"clean","24","to clean"
"make a loud noise","39","to make loud noises"
"go on leave","11","to leave"
"follow a workout video","10","to move around"
"walk around at night","46","to be in the dark"
"chew tobacco","36","to use the mouth"
"explain the background of something on display","34","to engage with the art community"
"climb a ladder","4","to climb"
"scratching your privates","17","to engage in sexual activities"
"wander off alone into the woods","40","to go"
"staying up late","30","to sleep"
"use ouija boards","7",""
"climb around","4","to climb"
"have a drink","1","to consume beverages"
"have a first-aid kit","28","to bring items"
"wear a collar top","22","to wear"
"wiping down the seats","24","to clean"
"fight","9","to express negative emotions"
"handle the holy objects","8","to participate in religious practices"
"vacuum","24","to clean"
"participate in a panel discussion","42","to discuss"
"use a computer","7",""
"bite your nails","36","to use the mouth"
"interrupt someone","44","to touch someone"
