"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"scj_34_b1swyu","Not lending a friend money","not lending a friend money","","author","other person","scruples_justice","7","Just","1.0"
"scj_35_a20ql9","Tipping 10% for bad to regular service, 15% for good service and 20% for extraordinary service","tipping 10% for bad to regular service, 15% for good service and 20% for extraordinary service","","author","other person","scruples_justice","15","Just","0.867"
"scj_36_agamkh","Not wanting to take on extra work with no promise of a compensation","not wanting to take on extra work with no promise of a compensation","","author","other person","scruples_justice","5","Just","1.0"
"scj_39_ahjqrj","Accidently throwing away my sister's phone charger and refusing to pay for a replacement","accidently throwing away my sister's phone charger and refusing to pay for a replacement","","author","sister","scruples_justice","11","Just","0.636"
"scj_41_b21n1o","Not wanting to do my MIL’s laundry","not wanting to do my MIL's laundry","","author","other person","scruples_justice","14","Just","0.786"
"scj_42_b9iium","WIBTA if i start asking for money from my sister out of the blue","starting asking for money from my sister out of the blue","","author","sister","scruples_justice","12","Just","1.0"
"scj_43_acfyiu","Breaking up with my ex of 3 years when he said he stayed with me for money","breaking up with my ex of 3 years when he said he stayed with me for money","","author","other person","scruples_justice","10","Just","1.0"
"scj_44_aglggu","Not cleaning the house","not cleaning the house","","author","other person","scruples_justice","15","Unjust","0.8"
"scj_45_azlyoy","AITA, having a child has nothing to do with money","having a child has nothing to do with money","","author","other person","scruples_justice","51","Just","0.961"
"scj_47_b2fk0g","Not wanting to babysit my niece","not wanting to babysit my niece","","author","other person","scruples_justice","5","Just","1.0"
"scj_49_b303uq","Expecting my girlfriend to do the cooking and cleaning","expecting my girlfriend to do the cooking and cleaning","","author","girlfriend","scruples_justice","59","Unjust","0.847"
"scj_50_adarfr","Getting upset over money","getting upset over money","","author","other person","scruples_justice","5","Just","1.0"
"scj_51_a6khpn","Being angry at my friend bcs he cancelled plans and now im stuck with a bill he won't pay","being angry at my friend bcs he cancelled plans and now Im stuck with a bill he won't pay","","author","friend","scruples_justice","5","Just","0.6"
"scj_52_b7555x","Thinking I shouldn’t have to pay for my own skincare products","thinking I shouldn't have to pay for my own skincare products","","author","other person","scruples_justice","29","Just","0.897"
"scj_53_b9ddmm","Telling my husband that his siblings only call for money","telling my husband that his siblings only call for money","","author","husband","scruples_justice","10","Just","0.9"
"scj_54_ake160","Not covering shifts","not covering shifts","","author","other person","scruples_justice","7","Just","0.857"
"scj_55_b7hhfw","Because I booked a trip for my daughter and I when my parents didn't pay as much for I thought they would? Now my wife is pissed. I had no idea they wouldn't give me half.","booking a trip for my daughter and I when my parents didn't pay as much for I thought they would? now my wife is pissed. I had no idea they wouldn't give me half","","author","daughter","scruples_justice","10","Unjust","0.7"
"scj_56_aau3br","Not cooking dinner for my parents every single night they come home from work","not cooking dinner for my parents every single night they come home from work","","author","other person","scruples_justice","6","Just","1.0"
"scj_57_aq80zy","Not wanting to give money to extended relatives","not wanting to give money to extended relatives","","author","other person","scruples_justice","5","Just","1.0"
"scj_58_a2ytmb","Not paying my roommates part of the rent after she has to go back home","not paying my roommates part of the rent after she has to go back home","","author","other person","scruples_justice","9","Just","0.778"
"scj_59_b7s2lc","Not wanting to pay for lifts","not wanting to pay for lifts","","author","other person","scruples_justice","14","Unjust","0.929"
"scj_60_ad0jqt","Calling my sister Retarded for not accepting our criminal relative's planned inheritance","calling my sister retarded for not accepting our criminal relative's planned inheritance","","author","sister","scruples_justice","11","Unjust","1.0"
"scj_62_b6qz73","Needing my twin/roommate to give me chores to do","needing my twin/roommate to give me chores to do","","author","other person","scruples_justice","11","Unjust","0.636"
"scj_63_awrg0v","WIBTA for refusing to pay my roommate for internet.","refusing to pay my roommate for internet","","author","roommate","scruples_justice","7","Just","1.0"
"scj_64_b1vbfy","Not paying for a drink at a bar","not paying for a drink at a bar","","author","other person","scruples_justice","9","Unjust","0.778"
"scj_65_ae28dy","Not taking my coworker’s shift when his mother is having surgery","not taking my coworker's shift when his mother is having surgery","","author","coworker","scruples_justice","10","Just","1.0"
"scj_66_azc1k7","Not thinking I need to pay someone who didn't as me to pay","not thinking I need to pay someone who didn't as me to pay","","author","other person","scruples_justice","12","Just","0.75"
"scj_68_ans1yi","Not wanting to fold my roommates laundry","not wanting to fold my roommates laundry","","author","other person","scruples_justice","11","Just","1.0"
"scj_69_ay7wyj","WIBTA if I ask my girlfriend to pay for dinners","asking my girlfriend to pay for dinners","","author","girlfriend","scruples_justice","14","Just","1.0"
"scj_70_atzy96","WIBTA if I make my gf start paying some of the bills over a single incident","making my gf start paying some of the bills over a single incident","","author","other person","scruples_justice","65","Just","0.769"
"scj_71_ar10fa","Waiting until I get my bonus in a couple weeks before looking for a new job","waiting until I get my bonus in a couple weeks before looking for a new job","","author","other person","scruples_justice","10","Just","0.9"
"scj_72_b1aau2","Getting infuriated with my father for spending my Grandfather’s will money on a hot tub when he constantly complains about bills to pay for the family","getting infuriated with my father for spending my Grandfather's will money on a hot tub when he constantly complains about bills to pay for the family","","author","father","scruples_justice","8","Just","1.0"
"scj_73_a4nlrh","Arriving at the theatre with a friend 30 minutes late, splitting up a group who were seated in our spot","arriving at the theatre with a friend 30 minutes late, splitting up a group who were seated in our spot","","author","other person","scruples_justice","6","Unjust","0.667"
"scj_74_b8z75q","Expecting my boyfriend’s parents to help me pay for a trip","expecting my boyfriend's parents to help me pay for a trip","","author","boyfriend","scruples_justice","22","Just","0.545"
"scj_75_ao0gl0","Refusing to pay my roommates’ applications fees to reapply for our apartment when I leave","refusing to pay my roommates' applications fees to reapply for our apartment when I leave","","author","other person","scruples_justice","14","Just","1.0"
"scj_76_b8ua4x","Sometimes not tipping","sometimes not tipping","","author","other person","scruples_justice","13","Just","0.692"
"scj_77_b2980x","Expecting my mom to pay for my crossfit","expecting my mom to pay for my crossfit","","author","mom","scruples_justice","9","Unjust","1.0"
"scj_78_b18gsq","Getting mad at my mom for not cooking dinner","getting mad at my mom for not cooking dinner","","author","mom","scruples_justice","85","Unjust","0.588"
"scj_79_a02vui","Not tipping this waitress","not tipping this waitress","","author","other person","scruples_justice","13","Unjust","0.538"
"scj_80_b8o0vd","Wanting my money back","wanting my money back","","author","other person","scruples_justice","8","Just","0.75"
"scj_81_ahb5fn","WIBTA if I don’t spend the majority of my time with my mother while she is in town for my birthday","not spending the majority of my time with my mother while she is in town for my birthday","","author","mother","scruples_justice","5","Just","1.0"
"scj_82_azmumx","Resenting my mother for never cooking.","resenting my mother for never cooking","","author","mother","scruples_justice","6","Just","0.833"
"scj_83_a340zj","Not saying sorry to a beggar when not giving him money","not saying sorry to a beggar when not giving him money","","author","other person","scruples_justice","7","Just","1.0"
"scj_84_b983nh","Choosing not to be close to my dad (52m) because he spent the money that was supposed to me in trust for me (24f)","choosing not to be close to my dad because he spent the money that was supposed to me in trust for me","","author","dad","scruples_justice","9","Just","1.0"
"scj_85_ajrjec","Wanting my brother &amp; his girlfriend to pay their share of a holiday that they originally agreed to go on but now can't because they are expecting a baby","wanting my brother & his girlfriend to pay their share of a holiday that they originally agreed to go on but now can't because they are expecting a baby","","author","brother","scruples_justice","35","Unjust","0.6"
"scj_87_b5jp1o","Letting my girlfriend pay for me","letting my girlfriend pay for me","","author","girlfriend","scruples_justice","8","Unjust","0.75"
"scj_88_a38r34","Expecting stay at home dad to do housework","expecting stay at home dad to do housework","","author","other person","scruples_justice","13","Just","1.0"
"scj_89_b7fbqs","If I made my friend pay for my AirPods that she lost","making my friend pay for my AirPods that she lost","","author","friend","scruples_justice","26","Just","0.808"
"scj_90_b1u1h3","Wanting More Money","wanting more money","","author","other person","scruples_justice","11","Unjust","0.545"
"scj_91_areqo5","Not tipping after issues with my hair stylist","not tipping after issues with my hair stylist","","author","other person","scruples_justice","5","Just","0.8"
"scj_92_aznfxo","Saying that since I pay for things my adult children should help around the house","saying that since I pay for things my adult children should help around the house","","author","other person","scruples_justice","58","Just","0.862"
"scj_93_apu4jg","Refusing to let my parents get a bank loan under my name","refusing to let my parents get a bank loan under my name","","author","other person","scruples_justice","19","Just","1.0"
"scj_94_9z1qsv","Wanting my cousin to pay the same amount of rent as me","wanting my cousin to pay the same amount of rent as me","","author","other person","scruples_justice","6","Just","1.0"
"scj_95_b8x3fb","Not giving my ex gf any money after break up","not giving my ex gf any money after break up","","author","other person","scruples_justice","21","Just","0.81"
"scj_96_b6xas2","Telling my friend that I don't care for pictures/updates/videos of her kid","telling my friend that I don't care for pictures/updates/videos of her kid","","author","friend","scruples_justice","39","Just","0.641"
"scj_97_aon10l","Not looking after my colleague (also boss's GF) bags while she was away","not looking after my colleague (also boss's GF) bags while she was away","","author","colleague","scruples_justice","6","Just","0.833"
"scj_98_9u2oz5","Making my sister pay for my old phone","making my sister pay for my old phone","","author","sister","scruples_justice","11","Just","1.0"
"scj_100_b6obgn","Lying to my bf about how much money I have","lying to my bf about how much money I have","","author","other person","scruples_justice","20","Just","0.95"
"scj_101_aa5qsy","If I don’t spoil/pay for all of my girlfriends dates","not spoiling/pay for all of my girlfriends dates","","author","other person","scruples_justice","14","Just","0.929"
"scj_102_b9jyln","Expecting my spouse to take care of their chores and getting frustrated when they don't","expecting my spouse to take care of their chores and getting frustrated when they don't","","author","other person","scruples_justice","10","Just","0.9"
"scj_103_ag4os8","Wanting my own bedroom on annual vacation if it bumps up the cost for everyone","wanting my own bedroom on annual vacation if it bumps up the cost for everyone","","author","other person","scruples_justice","26","Just","0.846"
"scj_105_b03hh2","Taking the prize money","taking the prize money","","author","other person","scruples_justice","7","Just","0.857"
"scj_106_aun6qc","Not 'paying it forward' at Waffle House","not 'paying it forward' at Waffle House","","author","other person","scruples_justice","12","Just","0.917"
"scj_107_9uzt3x","Asking for more money after an agreement has been reached","asking for more money after an agreement has been reached","","author","other person","scruples_justice","15","Unjust","0.8"
"scj_108_anygny","Selling overpriced Magic: the Gathering decks to a classmate so he won’t spend his money on drugs","selling overpriced Magic: the gathering decks to a classmate so he won't spend his money on drugs","","author","other person","scruples_justice","10","Unjust","0.8"
"scj_109_arnomi","Not tipping before a delivery","not tipping before a delivery","","author","other person","scruples_justice","10","Just","1.0"
"scj_111_b4iyui","AITA: I didn’t notice my shift changed","not noticing my shift changed","","author","other person","scruples_justice","7","Just","1.0"
"scj_112_b43t53","Giving my ex wife a large amount of money I won despite the anger of my gf","giving my ex wife a large amount of money I won despite the anger of my gf","","author","wife","scruples_justice","100","Just","0.5"
"scj_113_a0gx48","Not wanting to pay back my sister-in-law $4000 that she gave us","not wanting to pay back my sister-in-law $4000 that she gave us","","author","sister","scruples_justice","6","Unjust","1.0"
"scj_114_a8kkm6","Never tipping when I order food to go","never tipping when I order food to go","","author","other person","scruples_justice","7","Just","1.0"
"scj_115_b49mwk","WIBTA If I asked for a refund on an art piece","asking for a refund on an art piece","","author","other person","scruples_justice","13","Just","1.0"
"scj_117_a3zbhu","Not giving anymore money to mother","not giving anymore money to mother","","author","other person","scruples_justice","12","Just","1.0"
"scj_118_a22rc3","WIBTA if I confront my colleague about our overtime schedule.","confronting my colleague about our overtime schedule","","author","colleague","scruples_justice","6","Unjust","1.0"
"scj_119_a2gry0","Telling my friend that she shouldn’t be naked in front of the kids she’s babysitting","telling my friend that she shouldn't be naked in front of the kids she's babysitting","","author","friend","scruples_justice","13","Just","0.923"
"scj_120_9uouyt","Telling my daughter her husband should get a job to pay me back an $1,800 loan I gave them","telling my daughter her husband should get a job to pay me back an $1,800 loan I gave them","","author","daughter","scruples_justice","47","Just","0.766"
"scj_121_aoddd9","Not cleaning the equipment I use at my work's gym","not cleaning the equipment I use at my work's gym","","author","other person","scruples_justice","14","Unjust","0.857"
"scj_122_arbkmv","Not tipping walkout food","not tipping walkout food","","author","other person","scruples_justice","14","Just","1.0"
"scj_123_aymrjt","WIBTA if I don't recycle for money","not recycling for money","","author","other person","scruples_justice","8","Just","1.0"
"scj_124_aksx2o","Refusing to pay an old debt","refusing to pay an old debt","","author","other person","scruples_justice","11","Just","0.818"
"scj_125_aummo9","Not paying my plumber","not paying my plumber","","author","other person","scruples_justice","7","Unjust","0.714"
"scj_126_b47upj","Asking for my loaned money back","asking for my loaned money back","","author","other person","scruples_justice","15","Unjust","1.0"
"scj_127_amw80g","Cooking for myself","cooking for myself","","author","other person","scruples_justice","5","Just","1.0"
"scj_128_9v8wei","Refusing to let the father of my child get involved IF he refuses to pay child support","refusing to let the father of my child get involved if he refuses to pay child support","","author","child","scruples_justice","15","Just","0.8"
"scj_129_9u1hn1","Not tipping","not tipping","","author","other person","scruples_justice","15","Just","0.933"
"scj_130_arw5t6","Not believing my housemate's mental health issue should get her out of cleaning","not believing my housemate's mental health issue should get her out of cleaning","","author","other person","scruples_justice","10","Just","1.0"
"scj_131_afvwbj","Refusing to pay utilities","refusing to pay utilities","","author","other person","scruples_justice","5","Just","0.8"
"scj_129_atccqo","Not Tipping","not tipping","","author","other person","scruples_justice","7","Just","1.0"
"scj_132_avvzw1","Secretly spending my wife's inheritance","secretly spending my wife's inheritance","","author","wife","scruples_justice","54","Unjust","0.926"
"scj_133_b9mxtj","Not doing the dishes","not doing the dishes","","author","other person","scruples_justice","9","Just","0.778"
"scj_134_b3zaka","Telling my mother that both men or women can ""take care of each other"" in a relationship","telling my mother that both men or women can ""take care of each other"" in a relationship","","author","mother","scruples_justice","5","Just","0.6"
"scj_136_ast8bt","Not giving my Mom money","not giving my Mom money","","author","mom","scruples_justice","13","Just","0.923"
"scj_138_aggijw","Accepting both the GI bill and financial aid","accepting both the GI bill and financial aid","","author","other person","scruples_justice","9","Just","1.0"
"scj_140_b1mnfa","Wanting a rent reduction when roomie's gf moves in","wanting a rent reduction when roomie's gf moves in","","author","other person","scruples_justice","51","Just","0.98"
"scj_141_axwklp","WIBTA if I asked my mom to pay for a missing item in a parcel she signed for","asking my mom to pay for a missing item in a parcel she signed for","","author","mom","scruples_justice","5","Unjust","0.6"
"scj_142_b5tgo2","Demanding I get a refund and possibly causing trouble for the cashier","demanding I get a refund and possibly causing trouble for the cashier","","author","other person","scruples_justice","40","Just","0.975"
"scj_143_b7m3c0","Not wanting to pay for my sisters's educations and expenses","not wanting to pay for my sisters's educations and expenses","","author","other person","scruples_justice","12","Just","0.917"
"scj_144_apbenu","Asking my roommate to pay half of the pet deposit that I paid for my dog","asking my roommate to pay half of the pet deposit that I paid for my dog","","author","roommate","scruples_justice","6","Just","1.0"
"scj_145_axe67m","Not wanting to take care of my dad","not wanting to take care of my dad","","author","dad","scruples_justice","5","Just","0.6"
"scj_146_atvu59","WIBTAH if I left during a 9 hour shift in work in which there is no coverage","leaving during a 9 hour shift in work in which there is no coverage","","author","other person","scruples_justice","23","Just","0.565"
"scj_147_aaffvq","Wanting my father to pay me back","wanting my father to pay me back","","author","father","scruples_justice","17","Just","0.941"
"scj_148_aecuah","Not wanting to take out a loan to pay for rent.","not wanting to take out a loan to pay for rent","","author","other person","scruples_justice","8","Just","0.875"
"scj_149_b8xia5","Constantly asking my mom to give the money she owes me","constantly asking my mom to give the money she owes me","","author","mom","scruples_justice","7","Just","0.571"
"scj_150_a26hoi","Not taking my friends shift because I was high","not taking my friends shift because I was high","","author","other person","scruples_justice","14","Just","0.929"
"scj_129_a8dyth","Not tipping","not tipping","","author","other person","scruples_justice","23","Just","0.696"
"scj_151_avjd0t","Making a kid who cut me off pay for my coffees","making a kid who cut me off pay for my coffees","","author","other person","scruples_justice","12","Just","0.5"
"scj_152_axgv5w","WIBTA for making my brother in law pay to replace our carpet","making my brother in law pay to replace our carpet","","author","brother","scruples_justice","8","Just","0.875"
"scj_155_aztuu8","Taking my money back from a kid","taking my money back from a kid","","author","other person","scruples_justice","72","Just","0.694"
"scj_156_a67yaa","Not sharing my tip with my fellow waiters at my “non-tipping” restaurant","not sharing my tip with my fellow waiters at my ""non-tipping"" restaurant","","author","other person","scruples_justice","51","Just","0.98"
"scj_157_b8tv20","Demanding a pay back date from an ""old friend""","demanding a pay back date from an ""old friend""","","author","other person","scruples_justice","5","Just","0.6"
"scj_158_aup7id","Not attending the tuition lectures my parents pay for.","not attending the tuition lectures my parents pay for","","author","other person","scruples_justice","9","Unjust","0.667"
"scj_159_apsmax","Not tipping a bartender I used to flirt with","not tipping a bartender I used to flirt with","","author","other person","scruples_justice","16","Unjust","0.938"
"scj_161_b5wxsu","Using Money to Get Girls","using money to get girls","","author","other person","scruples_justice","69","Just","0.725"
"scj_162_9xyk1m","Not leaving a tip","not leaving a tip","","author","other person","scruples_justice","7","Unjust","0.571"
"scj_163_b3pn9d","WIBTA if I didnt pay my sister back for half of my wedding dress","not paying my sister back for half of my wedding dress","","author","sister","scruples_justice","28","Just","0.857"
"scj_165_aizir2","Not giving my daughter (13) money for her mother","not giving my daughter money for her mother","","author","daughter","scruples_justice","21","Just","0.81"
"scj_166_b1id3p","Not paying a bill I never agreed to pay, and then moving out","not paying a bill I never agreed to pay, and then moving out","","author","other person","scruples_justice","12","Just","0.917"
"scj_167_b7gbvq","Leaving the lowest possibe tip for food delivery","leaving the lowest possibe tip for food delivery","","author","other person","scruples_justice","10","Just","0.5"
"scj_168_b1kcgb","WIBTA if I asked for a higher pay even though I already agreed to a lower one","asking for a higher pay even though I already agreed to a lower one","","author","other person","scruples_justice","6","Unjust","0.833"
"scj_169_am0gbi","Calling the police on my cleaning lady who I caught stealing money after it was recorded on my baby monitor","calling the police on my cleaning lady who I caught stealing money after it was recorded on my baby monitor","","author","other person","scruples_justice","6","Just","1.0"
"scj_170_b8zysc","Asking to use refunded money towards something else","asking to use refunded money towards something else","","author","other person","scruples_justice","6","Just","0.833"
"scj_171_ba78t7","WIBTA for asking my neighbors to pay for my tetanus shot/broken glasses their dog indirectly caused","asking my neighbors to pay for my tetanus shot/broken glasses their dog indirectly caused","","author","other person","scruples_justice","12","Just","0.917"
"scj_172_aytnvi","Not wanting to pay for my gas","not wanting to pay for my gas","","author","other person","scruples_justice","39","Unjust","0.513"
"scj_173_ap01jf","Wanting my friend to loose a lot of money","wanting my friend to loose a lot of money","","author","friend","scruples_justice","8","Unjust","0.75"
"scj_174_a7mqh4","WIBTA If I Didn’t Return a Refund to my Roommates from Utilities","not returning a Refund to my roommates from utilities","","author","other person","scruples_justice","6","Unjust","0.833"
"scj_175_avxjlq","Not tipping delivery driver when I assumed the delivery fee was going to him","not tipping delivery driver when I assumed the delivery fee was going to him","","author","other person","scruples_justice","12","Just","0.833"
"scj_176_b1p7bg","Not feeling sorry for everyone with loads and loads of student debt","not feeling sorry for everyone with loads and loads of student debt","","author","other person","scruples_justice","8","Unjust","0.625"
"scj_177_b4xjm4","Trying to evade this dangerous situation by physically splitting up","trying to evade this dangerous situation by physically splitting up","","author","other person","scruples_justice","19","Just","1.0"
"scj_80_ay4808","Wanting my money back","wanting my money back","","author","other person","scruples_justice","5","Just","1.0"
"scj_178_b14nja","Telling my company that I will decline an assignment over child care","telling my company that I will decline an assignment over child care","","author","other person","scruples_justice","5","Just","0.6"
"scj_179_a4fpfe","Not tipping my waitress","not tipping my waitress","","author","other person","scruples_justice","10","Unjust","0.8"
"scj_180_b8e0sc","Asking my sister to pay for half of a hotel room","asking my sister to pay for half of a hotel room","","author","sister","scruples_justice","9","Just","1.0"
"scj_181_b5vj20","Wanting my (23F) roommate (30M) to pay for my sideview mirror","wanting my roommate to pay for my sideview mirror","","author","roommate","scruples_justice","9","Unjust","0.889"
"scj_184_aycih1","If I won't lend someone with cancer money","not lending someone with cancer money","","author","other person","scruples_justice","33","Just","0.939"
"scj_185_aq8cqf","Not being able to work with this mom to babysit","not being able to work with this mom to babysit","","author","other person","scruples_justice","6","Just","1.0"
"scj_186_aoxrkd","Not wanting to pay for a ""special school"" for my kid","not wanting to pay for a ""special school"" for my kid","","author","other person","scruples_justice","18","Just","0.5"
"scj_187_9wsas1","Not moving in to help care for my terminally ill brother","not moving in to help care for my terminally ill brother","","author","other person","scruples_justice","9","Just","0.556"
"scj_189_axjiim","Accepting money from my parents","accepting money from my parents","","author","other person","scruples_justice","11","Just","1.0"
"scj_190_aw8e9k","Refusing to pay rent after I move out","refusing to pay rent after I move out","","author","other person","scruples_justice","64","Just","0.781"
"scj_191_av4k9q","Ghosting a guy who bought something from me after he probably broke it and wanted his money back","ghosting a guy who bought something from me after he probably broke it and wanted his money back","","author","other person","scruples_justice","10","Just","0.7"
"scj_192_acyvyg","Buying something expensive with my own money","buying something expensive with my own money","","author","other person","scruples_justice","12","Just","1.0"
"scj_193_a97smr","Not wanting to take care of my dad who was diagnosed with Alzheimer's","not wanting to take care of my dad who was diagnosed with Alzheimer's","","author","dad","scruples_justice","28","Just","0.821"
"scj_194_aemfr5","Not tipping the delivery guy","not tipping the delivery guy","","author","other person","scruples_justice","56","Unjust","0.714"
"scj_195_a7xb3w","Asking my roommate to pay more rent","asking my roommate to pay more rent","","author","roommate","scruples_justice","21","Unjust","0.667"
"scj_196_b7k8cn","Denying co-signing my brothers car loan","denying co-signing my brothers car loan","","author","other person","scruples_justice","10","Just","1.0"
"scj_197_ac5sx6","AITA: for lying to my girlfriend about my brothers Debt","lying to my girlfriend about my brothers debt","","author","girlfriend","scruples_justice","5","Just","0.6"
"scj_198_aozs97","- I am a dialysis patient and rejecting a potential doner has cost my Dad a large portion of his family","being a dialysis patient and rejecting a potential doner costing my Dad a large portion of his family","","author","dad","scruples_justice","47","Just","0.638"
"scj_200_ao3sjx","Refusing to babysit for distant relatives, because they don't allow me to discipline their kids? (Majority of my extended family seems to think so)","refusing to babysit for distant relatives, because they don't allow me to discipline their kids","","author","other person","scruples_justice","55","Just","0.909"
"scj_201_a2pcaj","Hating my brothers girlfriend and wanting them to split up","hating my brothers girlfriend and wanting them to split up","","author","other person","scruples_justice","7","Just","1.0"
"scj_202_anrfbo","Not wanting to pay bills that I do not use since I've moved out","not wanting to pay bills that I do not use since I've moved out","","author","other person","scruples_justice","10","Just","0.8"
"scj_203_a3w959","Not wanting to put someone else's money into my account and deposit and give it to them","not wanting to put someone else's money into my account and deposit and give it to them","","author","other person","scruples_justice","12","Just","1.0"
"scj_204_atxbo9","Not sharing money with my immediate family","not sharing money with my immediate family","","author","other person","scruples_justice","11","Just","0.727"
"scj_205_ayxsrc","(my parents/me) for wanting to pay when my friend's family did not want us to pay","wanting to pay when my friend's family did not want us to pay","","author","friend","scruples_justice","7","Just","0.857"
"scj_207_aweisj","Getting mad at my mom for making my neighbors pay me less for dog sitting","getting mad at my mom for making my neighbors pay me less for dog sitting","","author","mom","scruples_justice","10","Just","1.0"
"scj_208_ach8i0","(Are we the assholes) for kicking out our housemate with self-diagnosed anxiety and depression who has barely left their bed and pigsty of a room in months and refuses any kind of help/intervention? FYI - incredibly messy and always pays bills/rent days late.","kicking out our housemate with self-diagnosed anxiety and depression who has barely left their bed and pigsty of a room in months and refuses any kind of help/intervention? fyi - incredibly messy and always pays bills/rent days late","","author","other person","scruples_justice","35","Just","0.914"
"scj_209_acnin7","Taking her money","taking her money","","author","other person","scruples_justice","5","Unjust","0.6"
"scj_210_ak64y2","WIBTA if I ask my boyfriend for gas money","asking my boyfriend for gas money","","author","boyfriend","scruples_justice","10","Just","0.9"
