"cluster_id","cluster_label","n_behaviors","example_behaviors"
"15","to interact with others","348","sign up for a boxing class; provide wheelchair assistance; request crayons and a coloring menu; welcome visitors; accept gifts from lobbyists; charge people for admission; bring in a prostitute; take out student loans"
"16","to interact with objects","158","do a flip; lift a footprint from the ground; fix a broken appliance; lift heavy objects; cut metal; train someone on how to use machines; bend over to pick something up; do a puzzle"
"17","to engage in sexual activities","168","make sexual innuendos; have a coming of age celebration; ask for advice about safe sex; scratch your body; masturbate; have sex in the sandbox; watch movies with graphic violence or nudity; do the splits"
"18","to play","219","do a cannonball; play slots; curl up in a ball; play with the controls; play tag; do a jump shot; touch the court/field; play tennis"
"19","to take photos","76","take a selfie; use flash photography; have a photo of your girlfriend visible; encourage people to take pictures and explore; take a photo of someone; paint a picture; take photos; take pictures of people"
"20","to sit","186","sit quietly; sit in the front row; lie down; put your feet on the benches; sit on a person's lap; hide under the table; sit down; have your feet up on a desk"
"21","to care for plants","120","pick flowers; plant a garden; use pesticides; weeding; spread mulch; mow the lawn; plant corn; cut the grass with a push mower"
"22","to wear","316","wear shoes; wear earrings; wear your hat backward; wear a helmet; wear pajamas; wear blue; wear heels; wear a bikini"
"23","to check","170","get a blood test; analyze an athlete's performance; buy sti tests; analyze data; check the weather conditions; checking the ammunition; check for airspace restrictions; check the flight controls"
"24","to clean","138","pick up garbage; maintain and clean the lab equipment; clean the tables; repair a bathroom; cleaning the bathrooms; clean the kitchen; keep the sales floor clean and organized; clean up"
"25","to serve food","121","store food; buy food; reach across the table for food; skip a meal; ask for a sample of food; leave food out; take food orders; leave uncovered food out"
"26","to perform tasks","166","read a book; fill out a form; do a crossword puzzle; work on your laptop; write a research paper; skip a homework assignment; bring copies of medical records; read"
"27","to lie on the floor","92","sit on the floor; retrieve something on the floor; sweep the floor; lay on the floor and spin around; lie on the floor; spit on the ground; spitting on the floor; fall to the ground"
"28","to bring items","146","bring drugs; bring your own bags; bring a box of chocolates; enter with a weapon; bring a cooler; bring a blanket; bring a weapon; carry a weapon"
"29","to engage in humorous activities","58","laugh; laugh loudly; make jokes; make faces; make a copy of your face; pretend to be a ghost; laugh hysterically; tell a joke"
"30","to sleep","95","sleep on your side; sleep in the nude; go into the presidential bedroom; fall asleep; sleep; fall asleep at your desk; kiss someone goodnight; stay in the hotel"
"31","to eat","127","eat food; eat cereal; eat a pastry; eat lunch; skip meals; eat a hot dog; eat a berry; cook or eat something"
"32","to cook","123","lift a pot of boiling water off the stove; cook; leave the stove on; add sugar to dish; leave chopsticks sticking up in the bowl; make cheese; cook without a recipe; have sex in the kitchen"
"33","to enter spaces","122","leave the door open; enter the main hall; change the locks; stand in line to go to the bathroom; go inside; leave your shoes at the door; force someone out of an elevator; go inside without taking a bath"
"34","to engage with the art community","158","get a tattoo of something related to drugs; write on the walls; get a tattoo of a communist symbol; criticize another person's tattoo; put up a picture of a religious figure; dry the prints; build a sand castle; put up signs"
"35","to interact with animals","157","give the animals medication; use artificial means to breed animals; kill an animal; sacrifice an animal; bring in a pet; chase a bull; feed the animals; put your hand in an animal's cage"
"36","to use the mouth","115","brush your teeth; chew gum; wiping your nose with your hand; blow your nose; use mouthwash; yawn without covering your mouth; breathe through your mouth; put items in your mouth"
"37","to style","60","have long hair; trim your nails; blow dry someone's hair; get a braided hairstyle; comb your hair; cut your hair; shampoo a someone's hair; get an afro"
"38","to look","101","watch a movie; look someone in the eye; make eye contact with someone; watch television; roll your eyes; stop to admire the scenery; have a watchful eye on the workers; look around at the crowd"
"39","to make loud noises","96","belch loudly; pray out loud; yell; boo or hiss; make noise; make loud noises; scream; spell words out loud"
"40","to go","56","stay alone; go alone; leave someone by themselves; go off alone; wander around alone; walk on your own; go by yourself; wander off alone into the woods"
"41","to care for children","50","say a prayer with a child; have a baby; pick up your kids from school; breastfeed a child; bring a child; ask for a kid's meal; start a family; take a child"
"42","to discuss","110","talk about sex; discuss the merits of collectivism vs individualism; talk about race; talk about suicide; argue with someone; talk about mental health; talk about your ex; talk about death"
"43","to engage in store operations","112","ask a store employee for help in the restroom; open the cash register; block the aisle; count the money in the register; restock shelves with desired items; put people's luggage through the x-ray machine; push your grocery cart; bag your own groceries"
"44","to touch someone","194","kiss someone; touch someone's face; taunt someone; touch someone's belongings; lean your head on someone shoulder; hug someone; flirt with someone; hook up with someone"
"45","to dance","104","spin around in circles; make sudden movements; dance around wildly; dance the waltz; dance; dance in your seat; dance on top of lockers; dance provocatively"
"46","to be in the dark","72","watch the sunset; lay in the sun; stay after dark; go at night; sail at night; walk around at night; stay out late; travel at night"
"47","to use cosmetics","108","use soap; wear a lot of makeup; put on makeup; get a wax; add cayenne pepper; smell bad; get a leg wax; wear perfume or cologne"
"48","to use a phone","63","use your cell phone; use your phone; bring your phone; bring a phone; take a phone call; talk on the phone; answer phone calls; answer the phone"
"49","to interact","135","talk to yourself; make small talk with someone; show up late to a meeting; use the word ""comrade"" to refer to a colleague; attend faculty meetings; have a conversation with god; whisper in someone's ear; make a speech"
