"id","fable_id","fable_title","fable_moral","action","context","rating"
"aesop_017_2","aesop_017","The Shepherd Boy And The Wolf","Liars are not believed even when they speak the truth.","A doctor truthfully informs a patient of a serious diagnosis, even though the patient is in pain.","The patient is upset about the news, and the doctor remains calm and factual.","right"
"aesop_018_0","aesop_018","The Gnat And The Bull","The smaller the mind the greater the conceit.","A student takes credit for a group project.","A group project where they did all the work.","right"
"aesop_018_1","aesop_018","The Gnat And The Bull","The smaller the mind the greater the conceit.","A parent does all the work in a family project.","A family project where the kids are involved.","wrong"
"aesop_018_2","aesop_018","The Gnat And The Bull","The smaller the mind the greater the conceit.","A friend works alone on a group project.","A group project where collaboration is expected.","neutral"
"aesop_019_0","aesop_019","The Plane Tree","Our best blessings are often the least appreciated.","A student accepts a scholarship but declines to use it.","A student receives a prestigious scholarship but chooses not to pursue it.","wrong"
"aesop_019_1","aesop_019","The Plane Tree","Our best blessings are often the least appreciated.","A parent gifts a child a rare book but the child ignores it.","A parent gives a valuable gift to a child who refuses to acknowledge it.","wrong"
"aesop_019_2","aesop_019","The Plane Tree","Our best blessings are often the least appreciated.","A friend offers help to a struggling colleague but the colleague ignores the offer.","A friend provides support to a peer in need but the recipient refuses to accept it.","neutral"
"aesop_020_0","aesop_020","The Farmer And The Stork","You are judged by the company you keep.","A student shares a group project's notes with a friend, but the friend uses them to cheat on the exam.","The friend is in a group where others are cheating, but they secretly help the student.","wrong"
"aesop_020_1","aesop_020","The Farmer And The Stork","You are judged by the company you keep.","A colleague offers to help with a project, and the other team members trust them despite past disagreements.","The colleague is known for honesty, and the team relies on their integrity.","right"
"aesop_020_2","aesop_020","The Farmer And The Stork","You are judged by the company you keep.","A parent shares a child's schoolwork with a friend, but the friend later uses it to cheat in their own class.","The friend is in a group where academic dishonesty is common.","wrong"
"aesop_021_0","aesop_021","The Sheep And The Pig","It is easy to be brave when there is no danger.","Helping a friend in a car accident","A friend is stuck in a car and needs help","right"
"aesop_021_1","aesop_021","The Sheep And The Pig","It is easy to be brave when there is no danger.","Not helping a friend in a situation with no danger","A friend is stuck in a car and needs help","wrong"
"aesop_021_2","aesop_021","The Sheep And The Pig","It is easy to be brave when there is no danger.","Comforting a child in a situation with no danger","A child is scared of a situation","right"
"aesop_022_0","aesop_022","The Travelers And The Purse","We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.","A CEO takes credit for a team's success, ignoring shared efforts.","A company executive claims all the glory for a major project, leaving the team behind.","wrong"
"aesop_022_1","aesop_022","The Travelers And The Purse","We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.","Friends split a reward equally, ensuring everyone gets a share.","A group of friends discovers a treasure and divides it fairly.","right"
"aesop_022_2","aesop_022","The Travelers And The Purse","We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.","A parent shares their child's achievements, celebrating their success together.","A parent and child celebrate a milestone, sharing pride and joy.","right"
"aesop_024_0","aesop_024","The Frogs Who Wished For A King","Be sure you can better your condition before you seek to change.","A student applies for a scholarship without studying.","They have a strong academic record but lack preparation for the application process.","wrong"
"aesop_024_1","aesop_024","The Frogs Who Wished For A King","Be sure you can better your condition before you seek to change.","An employee applies for a promotion without improving their skills.","They believe their current role is sufficient for the new position.","wrong"
"aesop_024_2","aesop_024","The Frogs Who Wished For A King","Be sure you can better your condition before you seek to change.","A parent tries to be a better parent but neglects to learn new parenting techniques.","They hope to improve their child's education by attending workshops.","neutral"
"aesop_025_0","aesop_025","The Owl And The Grasshopper","Do not let flattery throw you off your guard against an enemy.","A colleague gives flattery but undermines a project.","A team leader praises a subordinate's work but dismisses their ideas.","wrong"
"aesop_025_1","aesop_025","The Owl And The Grasshopper","Do not let flattery throw you off your guard against an enemy.","A student refuses to accept praise despite being commended.","A teacher gives commendation but the student remains humble.","right"
"aesop_025_2","aesop_025","The Owl And The Grasshopper","Do not let flattery throw you off your guard against an enemy.","A friend accepts praise but ignores the compliment.","A peer is complimented but remains indifferent.","neutral"
"aesop_026_0","aesop_026","The Wolf And His Shadow","Do not let your fancy make you forget realities.","A student overestimates their academic performance and dismisses feedback.","A student confidently claims to be the best in their class, ignoring teacher criticism.","wrong"
"aesop_026_1","aesop_026","The Wolf And His Shadow","Do not let your fancy make you forget realities.","A parent acknowledges their child's hard work and values their effort over achievements.","A parent praises their child's success but emphasizes the effort behind it.","right"
"aesop_026_2","aesop_026","The Wolf And His Shadow","Do not let your fancy make you forget realities.","A friend dismisses criticism and believes they are superior to others.","A friend ignores peer feedback and insists they are the best.","wrong"
"aesop_027_0","aesop_027","The Oak And The Reeds","Better to yield when it is folly to resist, than to resist stubbornly and be destroyed.","A student agrees to do a group project they don't want to do.","Peer pressure forces them to comply with a demanding assignment.","wrong"
"aesop_027_1","aesop_027","The Oak And The Reeds","Better to yield when it is folly to resist, than to resist stubbornly and be destroyed.","A parent lets their child do something inappropriate.","The child requests to skip a school rule to avoid punishment.","right"
"aesop_027_2","aesop_027","The Oak And The Reeds","Better to yield when it is folly to resist, than to resist stubbornly and be destroyed.","An employee refuses to comply with a boss's unreasonable request.","The boss demands overtime without justification, and the employee is hesitant.","neutral"
"aesop_029_0","aesop_029","The Boys And The Frogs","Always stop to think whether your fun may not be the cause of another's unhappiness.","A teacher advises students to consider the impact of their actions before starting a club.","The club's proposal could alienate peers who value quiet study.","right"
"aesop_029_1","aesop_029","The Boys And The Frogs","Always stop to think whether your fun may not be the cause of another's unhappiness.","A parent lets their child throw stones into a river without supervision.","The child's actions could harm local wildlife and disrupt the community.","wrong"
"aesop_029_2","aesop_029","The Boys And The Frogs","Always stop to think whether your fun may not be the cause of another's unhappiness.","A student starts a podcast about controversial topics but pauses to listen to feedback.","The podcast's content could alienate listeners with differing opinions.","right"
"aesop_030_0","aesop_030","The Crow And The Pitcher","In a pinch a good use of our wits may help us out.","Student uses creative thinking to solve a complex math problem.","Stuck on a complex math problem in a classroom.","right"
"aesop_030_1","aesop_030","The Crow And The Pitcher","In a pinch a good use of our wits may help us out.","Parent uses trial and error to fix a broken fridge in the kitchen.","A broken fridge in the kitchen requires manual repair.","right"
"aesop_030_2","aesop_030","The Crow And The Pitcher","In a pinch a good use of our wits may help us out.","Friend attempts to fix a car with a broken engine without knowing the correct method.","A car with a broken engine in the driveway.","wrong"
"aesop_033_0","aesop_033","A Raven And A Swan","A change of habits will not alter nature.","Studying in a noisy place to improve focus","Trying to enhance concentration through environmental change","wrong"
"aesop_033_1","aesop_033","A Raven And A Swan","A change of habits will not alter nature.","Forcing a child to eat healthy meals instead of fast food","Attempting to alter eating habits for better health","wrong"
"aesop_033_2","aesop_033","A Raven And A Swan","A change of habits will not alter nature.","Starting to bike instead of running to lose weight","Efforting to change exercise routine for fitness goals","wrong"
"aesop_035_0","aesop_035","The Ass And The Load Of Salt","The same measures will not suit all circumstances.","Student uses same study method for math and literature.","Student struggles with different subjects.","wrong"
"aesop_035_1","aesop_035","The Ass And The Load Of Salt","The same measures will not suit all circumstances.","Parent uses same discipline method for two children.","One child resists, others comply.","wrong"
"aesop_035_2","aesop_035","The Ass And The Load Of Salt","The same measures will not suit all circumstances.","Teacher uses same teaching method for all students.","Some students struggle with the method.","right"
"aesop_036_0","aesop_036","The Lion And The Gnat","Pride over a success should not throw us off our guard.","Overestimating academic success and taking on too much responsibility.","A student who's proud of their academic achievements.","wrong"
"aesop_036_1","aesop_036","The Lion And The Gnat","Pride over a success should not throw us off our guard.","Overstepping with their child's achievements.","A parent who's proud of their child's accomplishments.","wrong"
"aesop_036_2","aesop_036","The Lion And The Gnat","Pride over a success should not throw us off our guard.","Recognizing their success and taking a step back.","An employee who's proud of their professional achievements.","right"
"aesop_038_0","aesop_038","The Cock And The Jewel","Precious things are without value to those who cannot prize them.","Submitting a top-tier essay to a prestigious journal","Teacher is busy and doesn't read it","right"
"aesop_038_1","aesop_038","The Cock And The Jewel","Precious things are without value to those who cannot prize them.","Accepting a job offer without proper training","Company offers a high salary","wrong"
"aesop_038_2","aesop_038","The Cock And The Jewel","Precious things are without value to those who cannot prize them.","Praising a child's talent in front of others","Child wins a competition","right"
"aesop_041_0","aesop_041","The Ass, The Fox, And The Lion","Traitors may expect treachery.","Friend trusts a rival and betrays them.","Rival offers help but backs out.","wrong"
"aesop_041_1","aesop_041","The Ass, The Fox, And The Lion","Traitors may expect treachery.","Colleague reports a rival's deceit.","Rival spreads rumors.","right"
"aesop_041_2","aesop_041","The Ass, The Fox, And The Lion","Traitors may expect treachery.","Parent confides in a child but the child lies.","Child promises to help but lies.","wrong"
"aesop_044_0","aesop_044","The Wolf And The Lamb","The unjust will not listen to the reasoning of the innocent.","A parent ignores their child's request to join a club.","The child insists on spending time with friends, but the parent refuses.","wrong"
"aesop_044_1","aesop_044","The Wolf And The Lamb","The unjust will not listen to the reasoning of the innocent.","A teacher listens to a student's argument about a school project.","The student explains their struggle with the assignment, and the teacher acknowledges their effort.","right"
"aesop_044_2","aesop_044","The Wolf And The Lamb","The unjust will not listen to the reasoning of the innocent.","A friend ignores another's advice to avoid a conflict.","The friend suggests resolving a disagreement, but the other person refuses to listen.","wrong"
"aesop_045_0","aesop_045","The Wolf And The Sheep","A knave's hypocrisy is easily seen through.","A friend promises to help with a project but never attends.","The friend asks for assistance with a complex task, but refuses to contribute.","wrong"
"aesop_045_1","aesop_045","The Wolf And The Sheep","A knave's hypocrisy is easily seen through.","A parent promises to take their child to a fun activity but cancels it.","The child asks for a trip, and the parent declines.","wrong"
"aesop_045_2","aesop_045","The Wolf And The Sheep","A knave's hypocrisy is easily seen through.","A colleague promises to support a project but doesn't contribute.","The team discusses a critical deadline, and the colleague avoids participation.","right"
"aesop_046_0","aesop_046","The Hares And The Frogs","However unfortunate we may think we are there is always someone worse off than ourselves.","A student helps a peer with a project.","A peer is struggling to complete a group assignment.","right"
"aesop_046_1","aesop_046","The Hares And The Frogs","However unfortunate we may think we are there is always someone worse off than ourselves.","A parent yells at a child during a conflict.","The child is upset about a school assignment.","wrong"
"aesop_046_2","aesop_046","The Hares And The Frogs","However unfortunate we may think we are there is always someone worse off than ourselves.","A friend offers support to a peer dealing with personal stress.","The peer is overwhelmed by workload and isolation.","right"
"aesop_047_0","aesop_047","The Fox And The Stork","Do not play tricks on your neighbors unless you can stand the same treatment yourself.","A friend mocks a neighbor's financial struggles by joking about their debt.","The neighbor is struggling to pay rent, and the friend makes a sarcastic comment.","wrong"
"aesop_047_1","aesop_047","The Fox And The Stork","Do not play tricks on your neighbors unless you can stand the same treatment yourself.","A parent avoids mocking a neighbor's hardships by offering genuine support.","The neighbor is struggling with a job loss, and the parent listens without judgment.","right"
"aesop_047_2","aesop_047","The Fox And The Stork","Do not play tricks on your neighbors unless you can stand the same treatment yourself.","A friend tries to help a neighbor but adds a joke about their situation.","The neighbor is dealing with a personal crisis, and the friend offers both support and humor.","neutral"
"aesop_048_0","aesop_048","The Travelers And The Sea","Do not let your hopes carry you away from reality.","Student excited about scholarship but it's a minor grade.","A student is overly optimistic about receiving a prestigious scholarship.","wrong"
"aesop_048_1","aesop_048","The Travelers And The Sea","Do not let your hopes carry you away from reality.","Employee optimistic about promotion but it's a small role.","An employee is hopeful about a major career advancement.","wrong"
"aesop_048_2","aesop_048","The Travelers And The Sea","Do not let your hopes carry you away from reality.","Friend is realistic about job offer but makes a wise decision.","A friend is cautious about a lucrative job opportunity.","right"
"aesop_050_0","aesop_050","The Stag And His Reflection","We often make much of the ornamental and despise the useful.","Designs a jacket with a unique pattern but not considering the durability.","Fashion show where the jacket is displayed.","wrong"
"aesop_050_1","aesop_050","The Stag And His Reflection","We often make much of the ornamental and despise the useful.","Forces child to wear a specific outfit despite it being uncomfortable.","Family event where the child is dressed in a strange outfit.","wrong"
"aesop_050_2","aesop_050","The Stag And His Reflection","We often make much of the ornamental and despise the useful.","Wears a comfortable outfit to help a friend with their presentation.","Group project where the friend is struggling.","right"
"aesop_051_0","aesop_051","The Peacock","Do not sacrifice your freedom for the sake of pomp and show.","A student takes a selfie in front of a mirror to look better.","Struggles to fit in at school by focusing on appearance.","wrong"
"aesop_051_1","aesop_051","The Peacock","Do not sacrifice your freedom for the sake of pomp and show.","A parent forces their child to wear a specific outfit to meet social standards.","Wants the child to be perfect for school events.","wrong"
"aesop_051_2","aesop_051","The Peacock","Do not sacrifice your freedom for the sake of pomp and show.","An employee overdecorates their presentation with flashy slides to impress their boss.","Tries to showcase their skills in a professional setting.","wrong"
